area;conductor_dia;strand_dia
0.50;0;0.21
0.75;0;0.21
1;0;0.21
1.5;0;0.26
2.5;0;0.26
4;0;0.31
6;0;0.31
10;0;0.41
16;0;0.41
25;0;0.41
35;0;0.41
50;0;0.41
70;0;0.51
95;0;0.51
120;0;0.51
150;0;0.51
185;0;0.51
240;0;0.51
300;0;0.51
400;0;0.51
500;0;0.61
630;0;0.61
